Date,Day_Type,Total_Screen_Time_min,Pickups,Most_Used_Category,Social_min,Productivity_Finance_min,Other_min,Games_min,Entertainment_min,Utilities_min,Information_Reading_min,Shopping_Food_min,Creativity_min,Travel_min,Health_Fitness_min
2025-10-05,Weekend,260,76,Social,97,41,33,28,24,24,7,0,0,0,0
2025-10-06,Weekday,419,90,Social,276,27,43,42,14,11,0,7,0,0,0
2025-10-07,Weekday,342,90,Social,172,9,43,41,0,34,8,33,0,0,0
2025-10-08,Weekday,343,85,Social,156,0,80,80,0,12,6,36,11,0,0
2025-10-09,Weekday,350,105,Social,148,58,27,24,40,22,0,18,0,0,0
2025-10-10,Weekday,290,74,Social,153,24,15,0,16,35,0,30,0,5,0
2025-10-11,Weekend,328,69,Social,221,8,48,39,3,26,4,0,0,0,0
2025-10-12,Weekend,322,66,Social,196,0,39,20,17,42,0,8,0,5,0
2025-10-13,Weekday,243,61,Social,198,9,1,0,3,2,1,0,0,2,0
2025-10-14,Weekday,469,135,Other,129,36,163,138,0,71,10,0,0,26,0
2025-10-15,Weekday,480,102,Social,263,61,60,52,50,34,17,0,0,0,0
2025-10-16,Weekday,582,56,Social,337,0,93,90,53,39,8,15,0,0,0
2025-10-17,Weekday,458,93,Social,224,16,132,127,8,25,14,0,0,0,0
2025-10-18,Weekend,493,86,Social,182,13,165,137,16,59,44,0,0,0,0
2025-10-19,Weekend,488,74,Social,249,18,117,125,45,13,0,0,0,25,0
2025-10-20,Weekday,390,66,Social,201,72,58,34,13,11,0,0,0,0,8
2025-10-21,Weekday,245,76,Social,159,28,24,2,18,2,2,0,0,0,0
2025-10-22,Weekday,261,71,Social,135,46,50,12,25,9,0,0,8,0,0
2025-10-23,Weekday,319,65,Social,220,0,10,45,8,14,1,0,5,0,0
2025-10-24,Weekday,385,85,Social,261,0,25,4,28,13,40,0,0,0,5
2025-10-25,Weekend,428,79,Social,243,21,118,63,0,13,6,0,0,56,0
2025-10-26,Weekend,108,42,Social,49,1,1,19,1,0,8,8,0,0,0
2025-10-27,Weekday,141,38,Social,81,3,14,3,0,0,18,0,0,0,6
2025-10-28,Weekday,337,86,Social,196,14,36,41,11,21,0,0,2,0,0
2025-10-29,Weekday,215,63,Social,104,2,13,48,3,6,25,0,0,0,0
2025-10-30,Weekday,300,85,Social,112,0,57,58,16,28,23,0,14,0,0
2025-10-31,Weekday,220,69,Social,93,17,19,32,11,0,28,7,0,0,0
2025-11-01,Weekend,175,48,Social,74,11,1,45,2,11,9,0,0,0,0
